id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44085,Villa in Addaia great sea view and fun pool,193043,Manuela,,Es Mercadal,40.00974,4.19958,Entire home/apt,483,5,21,2024-08-25,0.14,3,180,1,ET3036ME
102558,appartment in Menorca -Cala Galdana,536023,Yolanda,,Ciutadella de Menorca,39.9434,3.9613,Entire home/apt,71,3,67,2024-10-29,0.40,1,308,9,ET2253ME
294398,Son Esquella - Charming Menorca,312145,Sol,,Alaior,39.89082,4.11595,Entire home/apt,,32,11,2019-09-08,0.09,3,0,0,
295705,The Most Perfect Villa in Menorca!,312145,Sol,,Alaior,39.89028,4.11476,Entire home/apt,,32,24,2022-05-30,0.16,3,0,0,
325641,BEAUTIFUL VILLA IN A VIRGIN BEACH,1492975,Pili,,Mahón,39.83781,4.19504,Entire home/apt,246,5,42,2023-08-24,0.30,1,364,0,GE/005061/2019
357026,Coqueto apartamento Son Bou Menorca + Rent our car,1740878,Emilio,,Alaior,39.9052,4.07072,Entire home/apt,75,5,83,2024-11-03,0.54,1,257,16,Licencia San Jaume Zona 5 APM-1880
358378,MENORCA APARTMENT SON BOU BEACH,1807049,Miguel Angel,,Alaior,39.90183,4.07595,Entire home/apt,50,5,96,2024-10-19,0.75,1,85,13,
366358,"Nature Farmhouse, Private Pool, Sea Access & Cook",1849697,Alessandro,,Ciutadella de Menorca,40.03581,3.96544,Entire home/apt,581,5,45,2024-10-21,0.29,1,217,5,ET 1646 ME
366636,Apartamento en Son Bou Menorca a 300 m. de playa,1851146,Carmen,,Alaior,39.90128,4.07565,Entire home/apt,130,8,32,2024-08-31,0.23,1,206,5,
372756,Beautiful Farm House in Menorca!!!!,312145,Sol,,Alaior,39.87626,4.13161,Entire home/apt,,32,1,2012-08-16,0.01,3,0,0,
425853,"Peaceful, comfortable apartment with sea views",2117118,Jonathan,,Es Mercadal,40.048770904541016,4.109414100646973,Entire home/apt,75,5,104,2024-09-26,0.66,1,151,6,ET 3015 ME
434190,Ideal para parejas,2155055,María Isabel,,Ciutadella de Menorca,39.92443,3.82661,Entire home/apt,74,4,94,2024-11-04,0.61,1,286,17,
494480,Nice appartment in front of a beach,715601,Jose Luis,,Ciutadella de Menorca,39.99876,3.79916,Entire home/apt,39,2,53,2024-09-27,0.37,3,235,4,ET2739ME
517301,Preciosa casa en el campo con aire acondicionado,2546568,Paqui,,Mahón,39.93384,4.24331,Entire home/apt,190,5,85,2024-11-01,0.55,2,246,12,ET 0275 ME
518633,Rustic farmhouse,1273331,Anne,,Es Castell,39.85917,4.29107,Entire home/apt,430,6,7,2024-09-01,0.05,1,1,3,
545844,The beach on your doorstep!,2684640,María José,,Es Mercadal,40.02113,4.18331,Entire home/apt,151,6,72,2024-10-05,0.51,1,268,12,
549304,Casa Centro Ciutadella Menorca,2700491,Angeles,,Ciutadella de Menorca,40.00433,3.83811,Entire home/apt,135,5,151,2024-09-23,0.98,1,98,15,ET 1126 MR
580840,Lovely Ciutadella Traditional House,1968952,Anne,,Ciutadella de Menorca,39.99918,3.83706,Entire home/apt,,6,166,2024-10-19,1.08,1,0,19,CE0738ME
596553,Terrific Couples Getaway in Minorca,2949986,Gabriel Y Beatriz,,Es Mercadal,39.97447,4.15116,Entire home/apt,180,7,67,2022-08-21,0.47,1,358,0,
725695,Country House in Menorca. Son Costa,3753883,Natalia,,Alaior,39.93556,4.1406,Entire home/apt,394,2,60,2024-11-24,0.47,1,0,7,HET Exp 009
854050,VILLA SAVANNA CIUTADELLA DE MENORCA,4459815,Jesus,,Ciutadella de Menorca,40.00474,3.80502,Entire home/apt,400,3,26,2024-09-09,0.20,2,315,2,VT/696/ME
854051,villa savanna menorca,4459815,Jesus,,Ciutadella de Menorca,40.00415,3.80636,Entire home/apt,400,3,6,2023-09-27,0.05,2,1,0,VT/696/ME
932244,"Camera con bagno privato - ""La rossa""",5013601,Alessandro,,Es Mercadal,40.00418,4.19386,Private room,55,5,139,2024-09-05,0.98,4,1,8,
932315,"Camera con bagno privato - ""La verde""",5013601,Alessandro,,Es Mercadal,40.00604,4.19294,Private room,55,5,134,2024-09-24,0.94,4,201,13,
954903,ALQUILO CASA CAMPO CON PISCINA,5186207,Francisco,,Mahón,39.87655,4.26061,Entire home/apt,261,7,0,,,2,268,0,ESFCTU00000701300012120300000000000000000000ET0338ME1
965059,"""La Buganvilla"" Casa Independiente en Menorca",5261775,Soledad,,Sant Lluís,39.81873,4.24766,Entire home/apt,,8,3,2022-07-29,0.04,1,293,0,
967834,TOWN HOUSE WITH PRIVATE POOL,5719722,Roser,,Ciutadella de Menorca,39.99783,3.84152,Entire home/apt,217,2,221,2025-03-05,1.58,1,0,37,CE0839ME
976380,Apartamento Binibeca Nou E Camí de Cavalls,5342587,Willy Y Yago,,Sant Lluís,39.82241,4.24793,Entire home/apt,89,7,151,2024-11-01,1.06,3,201,14,ET 2870 ME
976381,Apartamento Binibeca Nou P Camí de Cavalls,5342587,Willy Y Yago,,Sant Lluís,39.82105,4.24588,Entire home/apt,89,7,136,2024-10-27,1.14,3,1,23,ET 2870 ME
